scores,steps,episode
-10.0,235,1
-10.0,371,2
-10.0,413,3
-10.0,465,4
-10.0,529,5
-10.0,557,6
-10.0,594,7
-10.0,623,8
-10.0,642,9
-10.0,660,10
-10.0,682,11
-10.0,705,12
-10.0,726,13
-10.0,765,14
-10.0,862,15
100.0,880,16
100.0,1104,17
-10.0,1119,18
-10.0,1236,19
-10.0,1327,20
-10.0,1344,21
-10.0,1389,22
-10.0,1406,23
-10.0,1424,24
100.0,1466,25
-10.0,1513,26
-10.0,1550,27
-10.0,1575,28
-10.0,1616,29
-10.0,1645,30
-10.0,1670,31
-10.0,1708,32
-10.0,1757,33
-10.0,1795,34
-10.0,1826,35
-10.0,1865,36
-10.0,1900,37
-10.0,1929,38
-10.0,1962,39
-10.0,1995,40
-10.0,2027,41
-10.0,2050,42
100.0,2058,43
-10.0,2102,44
-10.0,2136,45
-10.0,2182,46
-10.0,2483,47
100.0,2491,48
-10.0,2512,49
-10.0,2549,50
-10.0,2565,51
-10.0,2613,52
-10.0,2659,53
-10.0,2685,54
-10.0,2731,55
-10.0,3032,56
100.0,3067,57
100.0,3099,58
100.0,3120,59
-10.0,3421,60
-10.0,3722,61
-10.0,3947,62
100.0,4186,63
-10.0,4399,64
-10.0,4700,65
-10.0,5001,66
-10.0,5220,67
-10.0,5377,68
-10.0,5476,69
-10.0,5585,70
-10.0,5669,71
-10.0,5879,72
-10.0,5995,73
-10.0,6196,74
-10.0,6269,75
-10.0,6399,76
-10.0,6550,77
-10.0,6773,78
-10.0,7020,79
-10.0,7087,80
-10.0,7158,81
-10.0,7239,82
-10.0,7398,83
-10.0,7639,84
-10.0,7818,85
-10.0,8119,86
-10.0,8420,87
-10.0,8721,88
-10.0,8850,89
-10.0,8935,90
100.0,8961,91
-10.0,9034,92
-10.0,9163,93
100.0,9209,94
-10.0,9401,95
100.0,9544,96
100.0,9600,97
-10.0,9765,98
100.0,9852,99
100.0,9877,100
100.0,9898,101
100.0,9949,102
-10.0,10019,103
100.0,10057,104
-10.0,10079,105
-10.0,10162,106
-10.0,10198,107
100.0,10259,108
-10.0,10294,109
100.0,10325,110
100.0,10360,111
-10.0,10383,112
100.0,10412,113
-10.0,10476,114
100.0,10548,115
100.0,10603,116
-10.0,10690,117
-10.0,10719,118
-10.0,10742,119
-10.0,10761,120
-10.0,10782,121
100.0,10839,122
100.0,10851,123
-10.0,10897,124
-10.0,10915,125
