,scores
0,-10
1,100
2,100
3,100
4,-10
5,100
6,100
7,100
8,100
9,-10
10,100
11,100
12,100
13,100
14,-10
15,100
16,100
17,100
18,100
19,100
20,100
21,-10
22,100
23,100
24,100
25,-10
26,100
27,100
28,-10
29,-10
30,100
31,100
32,100
33,100
34,100
35,100
36,-10
37,100
38,-10
39,100
40,100
41,100
42,100
43,100
44,100
45,100
46,100
47,100
48,100
49,100
50,100
51,100
52,100
53,-10
54,100
55,100
56,-10
57,100
58,100
59,100
60,100
61,100
62,100
63,-10
64,100
65,100
66,100
67,100
68,100
69,100
70,100
71,100
72,100
73,100
74,100
75,-10
76,-10
77,100
78,100
79,-10
80,100
81,100
82,100
83,100
84,100
85,100
86,100
87,100
88,100
89,-10
90,100
91,100
92,100
93,100
94,100
95,100
96,100
97,100
98,100
99,100
