episode,scores,steps
0,100,1
1,-10,163
2,100,176
3,-10,214
4,-10,260
5,-10,294
6,-10,329
7,-10,362
8,-10,393
9,-10,429
10,100,441
11,-10,485
12,-10,521
13,-10,569
14,-10,623
15,-10,674
16,-10,730
17,-10,782
18,-10,834
19,-10,888
20,-10,965
21,-10,1028
22,-10,1079
23,-10,1136
24,-10,1198
25,100,1234
26,-10,1287
27,100,1288
28,100,1302
29,-10,1349
30,-10,1402
31,-10,1458
32,-10,1502
33,-10,1551
34,-10,1629
35,-10,1675
36,100,1728
37,-10,1804
38,-10,1848
39,-10,1875
40,-10,1895
41,-10,1937
42,-10,1963
43,-10,1986
44,-10,2015
45,-10,2045
46,-10,2077
47,-10,2119
48,-10,2138
49,-10,2158
50,-10,2178
51,-10,2200
52,-10,2227
53,-10,2262
54,-10,2286
55,-10,2306
56,-10,2328
57,-10,2353
58,-10,2374
59,-10,2397
60,-10,2422
61,-10,2445
62,-10,2472
63,-10,2492
64,-10,2511
65,-10,2579
66,-10,2608
67,-10,2670
68,-10,2691
69,100,2692
70,-10,2709
71,-10,2728
72,-10,2749
73,-10,2775
74,-10,2796
75,-10,2839
76,-10,2864
77,-10,2885
78,100,2890
79,-10,2913
80,-10,2966
81,-10,2992
82,-10,3012
83,-10,3041
84,-10,3067
85,-10,3096
86,-10,3120
87,-10,3143
88,-10,3167
89,-10,3201
90,100,3202
91,-10,3223
92,-10,3256
93,-10,3278
94,-10,3302
95,-10,3323
96,-10,3365
97,100,3371
98,-10,3393
99,100,3406
100,100,3412
101,100,3413
102,-10,3448
103,-10,3470
104,100,3471
105,-10,3499
106,-10,3526
107,-10,3558
108,-10,3593
109,-10,3615
110,-10,3648
111,-10,3670
112,-10,3714
113,100,3715
114,-10,3740
115,-10,3788
116,-10,3818
117,100,3822
118,-10,3852
119,-10,3891
120,-10,3929
121,100,3954
122,-10,3990
123,-10,4009
124,-10,4039
125,-10,4083
126,-10,4119
127,-10,4161
128,-10,4194
129,-10,4221
130,-10,4267
131,-10,4303
132,-10,4340
133,-10,4383
134,-10,4421
135,100,4453
136,100,4454
137,-10,4485
138,-10,4514
139,100,4515
140,-10,4554
141,-10,4592
142,-10,4632
143,-10,4676
144,-10,4725
145,100,4755
146,-10,4787
147,-10,4826
148,-10,4904
149,100,4930
150,-10,4960
151,-10,4998
152,-10,5032
153,-10,5079
154,-10,5115
155,-10,5148
156,-10,5186
157,-10,5237
158,-10,5281
159,-10,5325
160,100,5335
161,-10,5374
162,100,5392
163,-10,5436
164,-10,5481
165,100,5482
166,-10,5532
167,-10,5567
168,100,5571
169,-10,5613
170,-10,5657
171,-10,5690
172,-10,5775
173,-10,5810
174,-10,5852
175,-10,5894
176,-10,5951
177,-10,6006
178,-10,6047
179,100,6067
180,100,6081
181,100,6085
182,100,6109
183,-10,6148
184,100,6152
185,-10,6201
186,100,6208
187,-10,6247
188,100,6255
189,100,6256
190,-10,6302
191,-10,6348
192,-10,6427
193,-10,6472
194,-10,6514
195,-10,6612
196,100,6624
197,100,6650
198,100,6670
199,100,6736
200,-10,6834
201,100,6841
202,-10,6877
203,-10,6921
204,-10,6963
205,-10,6982
206,100,6983
207,-10,7025
208,-10,7069
209,100,7070
210,-10,7181
211,-10,7243
212,-10,7265
213,-10,7337
214,-10,7381
215,100,7389
216,-10,7439
217,-10,7491
218,100,7501
219,-10,7558
220,100,7567
221,-10,7663
222,-10,7697
223,-10,7765
224,100,7776
225,-10,7814
226,-10,7859
227,-10,7900
228,-10,7942
229,-10,7985
230,-10,8011
231,100,8030
232,100,8063
233,-10,8113
234,-10,8143
235,100,8169
236,100,8185
237,-10,8316
238,100,8378
239,-10,8408
240,100,8415
241,-10,8465
242,100,8472
243,-10,8544
244,-10,8581
245,100,8585
246,-10,8616
247,-10,8702
248,-10,8817
249,100,8867
250,-10,8901
251,100,8918
252,-10,8951
253,-10,9003
254,100,9018
255,-10,9110
256,100,9117
257,100,9133
258,100,9138
259,100,9156
260,100,9161
261,-10,9202
262,-10,9236
263,100,9240
264,100,9241
265,-10,9275
266,100,9364
267,-10,9397
268,-10,9428
269,100,9485
270,-10,9515
271,100,9540
272,100,9559
273,-10,9598
274,100,9608
275,-10,9642
276,-10,9749
277,-10,9777
278,-10,9806
279,100,9834
280,100,9843
281,100,9864
282,100,9869
283,100,9870
284,100,9886
285,100,9913
286,-10,9929
287,100,9945
288,100,9957
289,100,10027
290,100,10052
291,-10,10107
292,100,10128
293,100,10173
294,100,10177
295,-10,10207
296,100,10221
297,-10,10249
298,-10,10297
299,100,10310
300,-10,10338
301,-10,10388
302,-10,10445
303,100,10467
304,-10,10494
305,-10,10577
306,-10,10612
307,-10,10668
308,100,10685
309,-10,10721
310,100,10762
311,100,10766
312,-10,10890
313,-10,10925
314,-10,10989
315,-10,11043
316,-10,11077
317,100,11089
318,100,11102
319,100,11114
320,100,11118
321,100,11119
322,100,11120
323,-10,11152
324,100,11166
325,-10,11231
326,100,11244
327,-10,11274
328,-10,11308
329,100,11321
330,-10,11369
331,100,11391
332,100,11403
333,100,11416
334,-10,11438
335,-10,11489
336,-10,11530
337,100,11596
338,-10,11644
339,100,11676
340,-10,11727
341,100,11748
342,100,11761
343,100,11784
344,-10,11807
345,-10,11834
346,100,11846
347,100,11858
348,-10,11888
349,100,11935
350,100,11948
351,100,11949
352,-10,11972
353,-10,12005
354,100,12013
355,100,12030
356,100,12037
357,100,12048
358,100,12066
359,-10,12096
360,100,12156
361,-10,12181
362,-10,12245
363,100,12256
364,100,12268
365,-10,12293
366,100,12305
367,-10,12341
368,-10,12367
369,100,12376
370,-10,12403
371,100,12434
372,-10,12459
373,-10,12482
374,100,12563
375,100,12599
376,100,12656
377,100,12661
378,100,12673
379,100,12706
380,-10,12728
381,100,12732
382,100,12738
383,-10,12786
384,100,12833
385,100,12845
386,-10,12875
387,100,12887
388,100,12900
389,-10,12954
390,100,12966
391,-10,12994
392,100,13006
393,100,13018
394,-10,13042
395,100,13055
396,100,13068
397,-10,13097
398,-10,13126
399,-10,13156
400,100,13168
401,-10,13186
402,-10,13210
403,100,13223
404,-10,13246
405,100,13263
406,100,13275
407,100,13374
408,100,13391
409,-10,13451
410,100,13468
411,100,13472
412,100,13484
413,100,13502
414,-10,13527
415,100,13559
416,-10,13581
417,100,13599
418,-10,13619
419,100,13687
420,100,13700
421,100,13776
422,100,13793
423,100,13852
424,100,13856
425,100,13927
426,100,14009
427,-10,14029
428,-10,14051
429,100,14079
430,100,14091
431,100,14096
432,100,14103
433,100,14147
434,100,14165
435,100,14193
436,100,14275
437,-10,14306
438,100,14310
439,100,14311
440,-10,14334
441,100,14402
442,-10,14427
443,100,14434
444,100,14451
445,100,14459
446,100,14531
447,100,14608
448,100,14689
449,-10,14715
450,100,14732
451,-10,14782
452,100,14796
453,100,14884
454,100,14922
455,-10,14952
456,-10,15004
457,100,15021
458,100,15044
459,-10,15071
460,100,15111
461,100,15183
462,100,15256
463,100,15299
464,-10,15325
465,100,15331
466,100,15369
467,-10,15393
468,-10,15422
469,100,15423
470,-10,15451
471,100,15460
472,100,15465
473,100,15503
474,100,15577
475,100,15619
476,100,15626
477,100,15664
478,-10,15693
479,100,15721
480,100,15808
481,100,15848
482,100,15860
483,100,15941
484,100,15985
485,100,16012
486,100,16052
487,100,16137
488,100,16150
489,100,16156
490,-10,16225
491,100,16238
492,100,16243
493,100,16244
494,100,16257
495,100,16284
496,100,16371
497,-10,16390
498,100,16422
499,100,16435
500,100,16448
501,100,16464
502,100,16465
503,100,16537
504,100,16580
505,100,16606
506,100,16619
507,100,16627
508,-10,16651
509,100,16658
510,-10,16688
511,100,16689
512,100,16718
513,-10,16747
514,100,16759
515,100,16825
516,100,16904
517,100,16910
518,100,16968
519,100,17038
520,100,17046
521,100,17084
522,100,17100
523,100,17106
524,100,17149
525,100,17242
526,100,17255
527,-10,17294
528,100,17355
529,100,17427
530,100,17512
531,100,17563
532,-10,17584
533,100,17633
534,100,17646
535,100,17681
536,-10,17735
537,-10,17755
538,100,17767
539,100,17780
540,-10,17802
541,100,17816
542,100,17821
543,100,17840
544,100,17845
545,100,17889
546,-10,17934
547,100,17941
548,100,18013
549,100,18025
550,100,18074
551,100,18143
552,100,18155
553,-10,18186
554,100,18205
555,100,18217
