episode,scores,steps
0,-10,250
1,100,469
2,100,487
3,-10,508
4,-10,758
5,-10,1008
6,-10,1258
7,-10,1508
8,100,1528
9,-10,1778
10,-10,2028
11,-10,2278
12,-10,2528
13,-10,2778
14,-10,3028
15,-10,3278
16,-10,3528
17,100,3529
18,-10,3779
19,-10,4029
20,-10,4161
21,100,4209
22,-10,4459
23,-10,4709
24,-10,4959
25,-10,5209
26,-10,5459
27,-10,5709
28,-10,5959
29,-10,6209
30,-10,6459
31,-10,6709
32,-10,6959
33,-10,7209
34,-10,7459
35,-10,7709
36,-10,7959
37,-10,8209
38,100,8212
39,100,8236
40,-10,8486
41,100,8493
42,-10,8743
43,-10,8993
44,-10,9243
45,-10,9493
46,-10,9743
47,-10,9993
48,-10,10243
49,-10,10493
50,-10,10743
51,-10,10993
52,100,10994
53,-10,11244
54,100,11260
55,-10,11510
56,-10,11760
57,-10,12010
58,-10,12260
59,100,12458
60,-10,12708
61,-10,12958
62,-10,13208
63,-10,13458
64,-10,13708
65,-10,13958
66,-10,14208
67,100,14231
68,-10,14481
69,-10,14731
70,-10,14981
71,100,14998
72,-10,15248
73,-10,15498
74,-10,15748
75,100,15752
76,-10,16002
77,-10,16252
78,-10,16502
79,-10,16752
80,100,16773
81,-10,17023
82,-10,17273
83,-10,17523
84,-10,17773
85,-10,18023
86,-10,18273
87,-10,18523
88,-10,18773
89,-10,19023
90,-10,19273
91,-10,19523
92,-10,19773
93,-10,20023
94,-10,20273
95,-10,20523
96,-10,20773
97,100,20990
98,-10,21240
99,-10,21490
100,-10,21740
101,-10,21990
102,-10,22240
103,-10,22490
104,-10,22740
105,100,22761
106,-10,23011
107,-10,23261
108,-10,23511
109,100,23637
110,100,23641
111,-10,23891
112,100,23912
113,-10,24162
114,-10,24412
115,-10,24662
116,-10,24912
117,-10,25162
118,-10,25412
119,-10,25662
120,-10,25912
121,-10,26162
122,-10,26412
123,100,26436
124,-10,26686
125,100,26706
126,100,26729
127,100,26736
128,-10,26986
129,-10,27236
130,-10,27486
131,-10,27736
132,100,27739
133,-10,27989
134,-10,28239
135,-10,28489
136,-10,28739
137,-10,28989
138,-10,29239
139,-10,29489
140,-10,29739
141,-10,29989
142,-10,30239
143,-10,30489
144,-10,30739
145,100,30757
146,-10,30895
147,-10,31145
148,-10,31395
149,100,31411
150,-10,31661
151,-10,31911
152,-10,32161
153,100,32177
154,-10,32427
155,-10,32677
156,-10,32927
157,-10,33177
158,100,33178
159,100,33194
160,-10,33444
161,100,33448
162,-10,33661
163,-10,33911
164,-10,34161
165,-10,34411
166,-10,34661
167,-10,34911
168,-10,35154
169,100,35155
170,-10,35196
171,-10,35268
172,-10,35321
173,-10,35354
174,-10,35424
175,-10,35460
176,-10,35544
177,-10,35609
178,-10,35642
179,100,35657
180,-10,35907
181,-10,36150
182,100,36151
183,100,36173
184,-10,36423
185,-10,36478
186,-10,36533
187,-10,36691
188,-10,36867
189,-10,37117
190,100,37119
191,-10,37369
192,-10,37619
193,-10,37869
194,-10,38119
195,-10,38369
196,100,38370
197,-10,38620
198,-10,38870
199,-10,39120
200,-10,39370
201,-10,39620
202,-10,39655
203,-10,39668
204,100,39669
205,-10,39690
206,-10,39708
207,-10,39727
208,-10,39746
209,-10,39765
210,-10,39784
211,-10,39802
212,-10,39821
213,-10,39839
214,-10,39857
215,-10,39875
216,-10,39894
217,-10,39912
218,-10,39931
219,-10,39949
220,-10,39967
221,-10,39985
222,-10,40004
223,-10,40023
224,100,40025
225,-10,40043
226,-10,40062
227,-10,40080
228,100,40081
229,-10,40102
230,-10,40121
231,-10,40139
232,-10,40157
233,-10,40175
234,-10,40194
235,-10,40213
236,-10,40232
237,-10,40250
238,-10,40268
239,-10,40286
240,-10,40306
241,-10,40325
242,-10,40343
243,-10,40362
244,100,40375
245,-10,40402
246,-10,40421
247,100,40422
248,100,40450
249,100,40464
250,100,40471
251,-10,40490
252,-10,40508
253,100,40530
254,-10,40548
255,100,40568
256,-10,40578
257,-10,40589
258,-10,40599
259,100,40620
260,100,40625
261,-10,40635
262,-10,40657
263,-10,40669
264,-10,40688
265,100,40700
266,-10,40719
267,-10,40730
268,100,40749
269,100,40775
270,-10,40785
271,-10,40804
272,-10,40823
273,-10,40833
274,100,40859
275,100,40885
276,-10,40895
277,-10,40905
278,100,40929
279,100,40943
280,100,40944
281,100,40959
282,100,40963
283,100,40987
284,-10,40999
285,100,41012
286,-10,41032
287,100,41052
288,100,41053
289,100,41054
290,100,41074
291,-10,41084
292,-10,41105
293,100,41130
294,100,41145
295,-10,41156
296,100,41178
297,-10,41188
298,-10,41207
299,100,41234
300,100,41258
301,100,41272
302,100,41285
303,100,41301
304,100,41318
305,100,41331
306,100,41357
307,100,41382
308,100,41395
309,-10,41407
310,100,41426
311,100,41447
312,-10,41467
313,-10,41478
314,100,41491
315,100,41518
316,100,41533
317,100,41553
318,-10,41563
319,100,41576
320,-10,41597
321,-10,41608
322,100,41635
323,-10,41646
324,100,41647
325,100,41668
326,100,41681
327,100,41706
328,100,41727
329,100,41744
330,100,41745
331,-10,41756
332,-10,41776
333,-10,41787
334,100,41813
335,100,41875
336,100,41879
337,100,41893
338,100,41919
339,-10,41938
340,-10,41958
341,100,41973
342,-10,41992
343,100,42005
344,-10,42025
345,100,42051
346,100,42066
347,-10,42076
348,100,42091
349,100,42107
350,100,42122
351,-10,42133
352,100,42151
353,-10,42162
354,100,42178
355,100,42193
356,100,42206
357,100,42220
358,-10,42240
359,100,42257
360,100,42281
361,-10,42292
362,-10,42302
363,100,42315
364,100,42333
365,100,42349
366,100,42353
367,100,42367
