episode,scores,steps
0,-10,27
1,-10,56
2,-10,102
3,-10,135
4,-10,167
5,-10,202
6,-10,247
7,-10,465
8,-10,546
9,-10,604
10,-10,658
11,-10,714
12,-10,809
13,-10,878
14,100,918
15,-10,946
16,-10,974
17,-10,1001
18,-10,1026
19,-10,1075
20,-10,1097
21,-10,1131
22,-10,1165
23,-10,1196
24,-10,1225
25,-10,1251
26,-10,1277
27,-10,1356
28,-10,1380
29,-10,1403
30,-10,1427
31,-10,1450
32,-10,1475
33,-10,1500
34,-10,1524
35,-10,1558
36,-10,1577
37,-10,1595
38,-10,1623
39,-10,1648
40,-10,1670
41,-10,1691
42,-10,1711
43,-10,1731
44,-10,1753
45,-10,1774
46,-10,1795
47,100,1812
48,-10,2003
49,-10,2034
50,-10,2064
51,-10,2095
52,-10,2127
53,-10,2174
54,-10,2215
55,-10,2251
56,-10,2551
57,-10,2851
58,-10,3151
59,-10,3451
60,-10,3751
61,-10,4006
62,-10,4035
63,-10,4060
64,-10,4085
65,-10,4111
66,-10,4138
67,-10,4165
68,-10,4193
69,-10,4218
70,-10,4245
71,-10,4270
72,-10,4297
73,-10,4320
74,-10,4344
75,-10,4365
76,-10,4386
77,-10,4407
78,-10,4430
79,-10,4456
80,-10,4485
81,-10,4512
82,-10,4548
83,-10,4564
84,-10,4580
85,-10,4613
86,-10,4629
87,-10,4645
88,-10,4661
89,-10,4678
90,100,4699
91,-10,4737
92,-10,4773
93,-10,4793
94,-10,4829
95,100,4834
96,-10,4858
97,-10,4881
98,-10,4904
99,-10,4928
100,-10,4951
101,-10,4971
102,-10,4992
103,-10,5012
104,-10,5032
105,-10,5052
106,-10,5071
107,-10,5091
108,-10,5111
109,-10,5213
110,-10,5240
111,-10,5264
112,-10,5289
113,-10,5314
114,-10,5338
115,-10,5361
116,-10,5498
117,-10,5557
118,-10,5578
119,-10,5601
120,-10,5626
121,-10,5651
122,-10,5679
123,-10,5719
124,-10,5753
125,-10,5779
126,-10,5804
127,-10,5831
128,-10,5862
129,-10,5892
130,-10,5920
131,-10,6220
132,-10,6520
133,-10,6820
134,-10,7120
135,-10,7215
136,-10,7244
137,-10,7273
138,-10,7302
139,-10,7330
140,-10,7361
141,-10,7392
142,-10,7426
143,-10,7459
144,-10,7759
145,-10,8059
146,-10,8359
147,-10,8387
148,-10,8415
149,-10,8444
150,-10,8473
151,-10,8502
152,-10,8529
153,-10,8556
154,-10,8856
155,-10,9156
156,-10,9456
157,-10,9756
158,-10,10056
159,-10,10080
160,-10,10104
161,-10,10127
162,-10,10150
163,-10,10173
164,-10,10196
165,-10,10219
166,-10,10240
167,-10,10263
168,-10,10285
169,-10,10309
170,-10,10332
171,-10,10356
172,-10,10380
173,-10,10403
174,-10,10429
175,-10,10456
176,-10,10482
177,-10,10508
178,-10,10539
179,-10,10564
180,-10,10589
181,-10,10614
182,-10,10637
183,-10,10659
184,-10,10693
185,-10,10738
186,-10,10783
187,-10,10806
188,-10,10830
189,-10,10870
190,-10,10903
191,-10,10930
192,-10,11007
193,-10,11033
194,-10,11060
195,-10,11086
196,-10,11112
197,-10,11136
198,-10,11162
199,-10,11188
200,-10,11215
201,-10,11374
202,-10,11400
203,-10,11427
204,-10,11454
205,-10,11479
206,-10,11506
207,-10,11532
208,-10,11560
209,-10,11589
210,-10,11622
211,-10,11657
212,-10,11693
213,-10,11751
214,-10,11780
215,-10,11814
216,-10,11851
217,-10,11889
218,-10,11922
219,100,11938
220,-10,11971
221,-10,11996
222,-10,12022
223,-10,12048
224,-10,12073
225,-10,12100
226,100,12117
227,-10,12168
228,-10,12213
229,-10,12263
230,-10,12286
231,-10,12330
232,-10,12365
233,-10,12398
234,-10,12430
235,-10,12459
236,-10,12489
237,-10,12524
238,-10,12549
239,-10,12597
240,-10,12634
241,-10,12671
242,-10,12698
243,-10,12725
244,-10,12752
245,-10,12779
246,-10,12805
247,-10,12829
248,-10,13129
249,-10,13429
250,-10,13729
251,-10,13844
252,-10,13914
253,-10,14214
254,-10,14514
255,-10,14639
256,-10,14748
257,-10,15048
258,-10,15348
259,-10,15386
260,-10,15422
261,-10,15464
262,-10,15509
263,-10,15571
264,-10,15610
265,-10,15910
266,-10,16210
267,-10,16510
268,-10,16810
269,-10,16835
270,-10,16860
271,-10,16884
272,-10,16907
273,-10,16973
274,-10,16996
275,-10,17070
276,-10,17095
277,-10,17157
278,-10,17201
279,-10,17213
280,-10,17225
281,-10,17237
282,-10,17249
283,-10,17262
284,-10,17274
285,-10,17287
286,-10,17300
287,-10,17313
288,-10,17325
289,-10,17337
290,-10,17350
291,-10,17363
292,-10,17375
293,-10,17387
294,-10,17398
295,-10,17410
296,-10,17421
297,-10,17432
298,-10,17444
299,-10,17456
300,-10,17468
301,-10,17480
302,-10,17492
303,-10,17505
304,-10,17519
305,-10,17533
306,-10,17547
307,-10,17561
308,-10,17575
309,-10,17589
310,-10,17602
311,-10,17616
312,-10,17630
313,-10,17644
314,100,17651
315,-10,17665
316,-10,17679
317,-10,17693
318,-10,17708
319,-10,17722
320,-10,17736
321,-10,17993
322,-10,18101
323,-10,18118
324,-10,18131
325,-10,18145
326,-10,18263
327,-10,18274
328,-10,18285
329,-10,18298
330,-10,18310
331,-10,18321
332,-10,18332
333,-10,18343
334,-10,18354
335,-10,18365
336,-10,18376
337,-10,18387
338,-10,18398
339,-10,18409
340,-10,18420
341,-10,18431
342,-10,18442
343,-10,18453
344,-10,18465
345,-10,18476
346,-10,18488
347,-10,18501
348,-10,18560
349,-10,18590
350,100,18609
351,-10,18670
352,-10,18682
353,-10,18694
354,-10,18706
355,-10,18718
356,-10,18729
357,-10,18741
358,-10,18752
359,-10,18763
360,-10,18775
361,-10,18786
362,-10,18797
363,-10,18807
364,-10,18817
365,-10,18828
366,-10,18839
367,-10,18850
368,-10,18861
369,-10,18871
370,-10,18881
371,-10,18891
372,-10,18901
373,-10,18912
374,-10,18922
375,-10,18933
376,-10,18944
377,-10,18955
378,-10,18968
379,-10,18980
380,-10,18992
381,-10,19005
382,-10,19020
383,-10,19033
384,-10,19046
385,-10,19261
386,-10,19276
387,-10,19339
388,-10,19541
389,-10,19833
390,-10,19893
391,-10,19920
392,-10,20085
393,-10,20097
394,-10,20109
395,-10,20121
396,-10,20134
397,-10,20147
398,-10,20160
399,-10,20174
400,-10,20187
401,-10,20201
402,-10,20501
403,-10,20801
404,100,20940
405,-10,20963
406,-10,20987
407,-10,21014
408,100,21027
409,-10,21057
410,-10,21087
411,-10,21116
412,-10,21144
413,100,21165
414,-10,21367
415,-10,21382
416,-10,21398
417,-10,21698
418,-10,21769
419,-10,21783
420,-10,21797
421,-10,21811
422,-10,21825
423,-10,21841
424,-10,21861
425,-10,21877
426,-10,21892
427,-10,21907
428,-10,21923
429,-10,21941
430,-10,22134
431,-10,22161
432,-10,22185
433,-10,22333
434,-10,22633
435,-10,22933
436,-10,23233
437,-10,23533
438,-10,23789
439,-10,23806
440,-10,23823
441,-10,23839
442,-10,23854
443,-10,23869
444,-10,23883
445,-10,23897
446,-10,23912
447,-10,23929
448,-10,24062
449,-10,24119
450,-10,24419
451,-10,24719
452,-10,25019
453,-10,25045
454,-10,25071
455,-10,25110
456,-10,25152
457,-10,25189
458,-10,25235
459,-10,25273
460,100,25299
461,-10,25319
462,-10,25353
463,-10,25653
464,-10,25874
465,-10,25886
466,-10,25901
467,-10,25925
468,-10,25949
469,-10,25980
470,-10,26006
471,100,26277
472,-10,26305
473,-10,26350
474,-10,26650
475,-10,26950
476,-10,27216
477,-10,27516
478,-10,27816
479,100,27829
480,-10,28129
481,-10,28429
482,-10,28729
483,-10,29029
484,100,29182
485,-10,29245
486,-10,29545
487,-10,29845
488,-10,30145
489,-10,30445
490,-10,30745
491,-10,31045
492,-10,31070
493,-10,31096
494,-10,31120
495,-10,31143
496,-10,31443
497,-10,31743
498,-10,32043
499,-10,32228
500,-10,32528
501,-10,32828
502,-10,33128
503,-10,33428
504,-10,33728
505,-10,34028
506,-10,34328
507,-10,34628
508,-10,34928
509,-10,35228
510,-10,35528
511,-10,35828
512,-10,36128
513,-10,36428
514,-10,36728
515,-10,37028
516,-10,37328
517,-10,37532
518,-10,37576
519,-10,37604
520,-10,37630
521,-10,37654
522,-10,37679
523,-10,37702
524,-10,37725
525,-10,37748
526,-10,37770
527,-10,37791
528,-10,37814
529,-10,37837
530,-10,37862
531,-10,37896
532,-10,37913
533,-10,37943
534,-10,37967
535,-10,37991
536,-10,38013
537,-10,38038
538,-10,38069
