episode,scores,steps
0,-10,500
1,-10,661
2,-10,1161
3,100,1169
4,-10,1669
5,100,1705
6,-10,2205
7,-10,2705
8,-10,3205
9,100,3214
10,100,3218
11,-10,3718
12,-10,4218
13,-10,4718
14,-10,5218
15,100,5310
16,-10,5810
17,-10,6310
18,-10,6810
19,-10,7310
20,-10,7810
21,-10,8310
22,-10,8810
23,-10,9310
24,-10,9810
25,-10,10310
26,100,10745
27,-10,11245
28,-10,11745
29,-10,12245
30,-10,12745
31,-10,13245
32,-10,13745
33,-10,14245
34,100,14277
35,-10,14774
36,100,14778
37,100,14779
38,100,14783
39,100,14814
40,-10,15314
41,-10,15814
42,-10,16314
43,-10,16814
44,-10,17314
45,-10,17636
46,-10,18136
47,-10,18636
48,-10,19136
49,-10,19636
50,-10,20136
51,-10,20636
52,-10,21136
53,-10,21636
54,-10,22136
55,-10,22636
56,-10,23136
57,-10,23545
58,-10,24045
59,-10,24545
60,-10,25045
61,-10,25545
62,-10,26045
63,-10,26545
64,-10,27045
65,-10,27545
66,-10,28045
67,-10,28545
68,-10,29045
69,-10,29545
70,-10,30045
71,-10,30545
72,-10,31045
73,-10,31545
74,-10,32045
75,-10,32545
76,-10,33045
77,100,33074
78,-10,33574
79,100,33603
80,100,33642
81,-10,34142
82,-10,34552
83,100,34590
84,-10,35090
85,100,35095
86,-10,35595
87,-10,36095
88,100,36129
89,100,36130
90,-10,36630
91,-10,37130
92,-10,37630
93,-10,38130
94,-10,38630
95,-10,39130
96,-10,39630
97,-10,40130
98,-10,40630
99,-10,41130
100,-10,41630
101,-10,42130
102,100,42426
103,-10,42926
104,-10,43426
105,-10,43926
106,-10,44426
107,-10,44926
108,100,44927
109,-10,45427
110,-10,45927
111,-10,46427
112,-10,46927
113,-10,47427
114,-10,47927
115,-10,48427
116,-10,48927
117,100,48954
118,-10,49454
119,100,49455
120,-10,49955
121,-10,50455
122,-10,50955
123,-10,51455
124,-10,51955
125,-10,52455
126,-10,52955
127,-10,53455
128,100,53487
129,-10,53987
130,-10,54487
131,-10,54987
132,100,55037
133,-10,55537
134,-10,56037
135,-10,56537
136,-10,56966
137,-10,57304
138,-10,57804
139,100,57805
140,-10,58305
141,-10,58805
142,-10,59305
143,-10,59805
144,-10,60305
145,-10,60805
146,-10,61305
147,100,61306
148,-10,61806
149,-10,62306
150,100,62310
151,-10,62810
152,-10,63310
153,-10,63810
154,-10,64310
155,100,64316
156,-10,64816
157,-10,65316
158,-10,65816
159,-10,66316
160,-10,66816
161,-10,67241
162,-10,67741
163,-10,68241
164,-10,68741
165,-10,69241
166,-10,69741
167,-10,70241
168,-10,70710
169,-10,71210
170,-10,71710
171,-10,72210
172,-10,72710
173,-10,73210
174,-10,73710
175,-10,74210
176,100,74218
177,-10,74718
178,-10,75218
179,-10,75718
180,-10,76218
181,-10,76718
182,-10,77218
183,-10,77718
184,-10,78218
185,-10,78718
186,-10,79218
187,-10,79718
188,100,79719
189,-10,80219
190,-10,80719
191,-10,81219
192,-10,81719
193,-10,82219
194,-10,82719
195,-10,83219
196,-10,83719
197,-10,84219
